State,Truck Stop Name,Highway Route,Exit,Address,Latitude,Longitude
CA,PILOT TRAVEL CENTER #137,I-5,Exit 745,"395 E VISTA DR WEED, CA 96094",41.399310981575,-122.376353983943
CA,YREKA TRUCK STOP,I-5,Exit 776,"787 MONTAGUE RD YREKA, CA 96097",41.738513022232,-122.625117709766
CA,ALPINE CHEVRON,I-8,Exit 30,"1145 TAVERN RD ALPINE, CA 91901",32.841749015656,-116.780281018829
CA,GOLDEN ACORN CASINO & TRAVEL PLAZA,I-8,Exit 61,"1800 GOLDEN ACORN WAY LIVE OAK SPRINGS, CA 91906",32.700569980173,-116.353955965654
CA,JACUMBA CHEVRON,I-8,Exit 73,"1496 CARRIZO GORGE RD JACUMBA HOT SPRINGS, CA 91934",32.63492400415,-116.16614199065
CA,JACUMBA SHELL,I-8,Exit 73,"1494 CORRIZO GORGE RD JACUMBA HOT SPRINGS, CA 91934",32.635345675999,-116.166224348613
CA,SUPER STOP TRAVEL CENTER,I-8,Exit 115,"550 WAKE AVE EL CENTRO, CA 92243",32.772230013633,-115.555438034029
CA,PETRO STOPPING CENTER #026 - SHAWN HUBBARD,I-10,Exit 57,"4325 E GUASTI RD ONTARIO, CA 91761",34.064652595699,-117.556775667498
CA,TRAVEL CENTERS OF AMERICA #162,I-10,Exit 57,"4265 E GAUSTI RD ONTARIO, CA 91761",34.064738091112,-117.559928268921
CA,FLYING J TRAVEL CENTER #1177,I-10,Exit 61,"14312 SLOVER AVE FONTANA, CA 92337",34.06407600458,-117.49288402381
CA,FONTANA TRUCK STOP,I-10,Exit 61,"14264 VALLEY BLVD FONTANA, CA 92335",34.0709140031,-117.493937964316
CA,THREE SISTERS TRUCK STOP,I-10,Exit 61,"14416 SLOVER AVE FONTANA, CA 92337",34.064294017881,-117.490671033734
CA,I-10 TRUCK STOP,I-10,Exit 68,"195 E VALLEY BLVD RIALTO, CA 92376",34.070140018161,-117.368288038936
CA,RIALTO TRAVEL CENTER (CHEVRON),I-10,Exit 68,"3610 S RIVERSIDE AVE RIALTO, CA 92377",34.03729100434,-117.367489997934
CA,VALLEY COLTON TRUCK STOP,I-10,Exit 71,"791 E VALLEY BLVD COLTON, CA 92324",34.065706997209,-117.314255022125
CA,ROYAL TRUCK STOP,I-10,Exit 73-A,"2300 E STEELE RD COLTON, CA 92324",34.062311991147,-117.28853003927
CA,CABAZON TRUCK STOP,I-10,Exit 106,"50876 SEMINOLE DR CABAZON, CA 92230",33.920261992104,-116.77443497664
CA,PILOT TRAVEL CENTER #307,I-10,Exit 120,"6605 N INDIAN CANYON DR NORTH PALM SPRINGS, CA 58123",33.902477695171,-116.545537734514
CA,FLYING J TRAVEL CENTER #765,I-10,Exit 130,"72235 VARNER RD THOUSAND PALMS, CA 92276",33.817844984037,-116.403396034801
CA,CLARK'S TRAVEL CENTER (SINCLAIR),I-10,Exit 142,"82253 INDIO BLVD INDIO, CA 92201",33.727740991734,-116.230821030322
CA,LOVE'S TRAVEL STOP #207,I-10,Exit 146,"45-761 DILLION RD COACHELLA, CA 92236",33.7086138547,-116.180331704886
CA,TRAVEL CENTERS OF AMERICA #041,I-10,Exit 146,"46155 DILLION RD COACHELLA, CA 92236",33.713853016362,-116.175582025282
CA,B B TRAVEL CENTER,I-10,Exit 232,"17970 W HOPSON WAY BLYTHE, CA 92225",33.61169702076,-114.725411019626
CA,FLYING J TRAVEL CENTER #1009,I-15,Exit 106-A,"11053 RIVERSIDE DR MIRA LOMA, CA 91752",34.015563015833,-117.526122041757
CA,PILOT TRAVEL CENTER #381,I-15,Exit 141,"8701 HWY 395 HESPERIA, CA 92345",34.411805106603,-117.399123925529
CA,HIGH DESERT TRUCK STOP,I-15,Exit 151-B,"15655 US 395 VICTORVILLE, CA 92394",34.534845009695,-117.398244960885
CA,FLYING J TRAVEL CENTER #614,I-15,Exit 178,"2611 FISHER BLVD BARSTOW, CA 92311",34.854703003007,-117.080765961241
CA,LOVE'S TRAVEL STOP #374,I-15,Exit 178,"2974 LENDWOOD RD BARSTOW, CA 92311",34.856942982812,-117.091489013793
CA,PILOT TRAVEL CENTER #282,I-15,Exit 178,"2591 COMMERCE PKWY BARSTOW, CA 92311",34.854710001896,-117.087182978674
CA,TRAVEL CENTERS OF AMERICA #227,I-15,Exit 178,"2930 LENWOOD RD BARSTOW, CA 92311",34.854627044892,-117.088504849483
CA,MOSHEN OIL,I-15,Exit 191,"35680 DAGGETT YERMO DR YERMO, CA 92398",34.900689979503,-116.887835001986
CA,YERMO SHELL AND TRUCK STOP,I-15,Exit 191,"35858 GHOST TOWN RD YERMO, CA 92398",34.904461547043,-116.886845848204
CA,RASOR ROAD SERVICE,I-15,Exit 233,"66150 RASOR RD BAKER, CA 92309",35.128927987595,-116.211382977763
CA,BAKER SHELL,I-15,Exit 246,"72352 BAKER BLVD BAKER, CA 92309",35.269938002001,-116.0696940292
CA,ULTRA GAS & MART,I-15,Exit 246,"71808 BAKER RD BAKER, CA 92309",35.262776001013,-116.080288000442
CA,KELLY'S MARKET & TRUCK STOP (SHELL),I-40,Exit 18,"44230 NATIONAL TRAILS HWY NEWBERRY SPRINGS, CA 92365",34.828856985471,-116.692569012145
CA,NEWBERRY HIGH DESERT,I-40,Exit 23,"48157 MEMORIAL DR NEWBERRY SPRINGS, CA 92365",34.818760983096,-116.609423969225
CA,"HI-SAHARA OASIS, INC.",I-40,Exit 107,"31251 GOOFS RD FENNER, CA 92332",34.816956987985,-115.181442040569
CA,GILL SIDHU CHEVRON,I-80,Exit 67,"6854 SIEVERS RD DIXON, CA 95620",38.489638990019,-121.804209967053
CA,SACRAMENTO 49ER TRAVEL PLAZA,I-80,Exit 85,"2828 EL CENTRO RD SACRAMENTO, CA 95833",38.617237540249,-121.535950508684
CA,7 ELEVEN,I-80,Exit 145,"25 CANYON CREEK RD GOLD RUN, CA 95714",39.187578462335,-120.832612548115
CA,LUCKY TRAVEL PLAZA,I-80,Exit 165,"90 CISCO RD CISCO GROVE, CA 95728",39.308787006563,-120.545271998525
CA,NOIL ENERGY GROUP,I-110,Exit 3-A,"710 E D ST WILMINGTON, CA 90748",33.774339008971,-118.253779028661
CA,TRACY TRUCK & AUTO STOP,I-205,Exit 8,"3940 N TRACY BLVD TRACY, CA 95304",37.76587200247,-121.434373995957
CA,UNITED OIL,I-215,Exit 14,"1500 PATRICIA RD PERRIS, CA 92570",33.741653987086,-117.190656986642
CA,TRAVEL ZONE CENTER,I-215,Exit 22,"23261 CAJACO RD PERRIS, CA 92570",33.840127016343,-117.255667027671
CA,VACA VALLEY TRAVEL CENTER,I-505,Exit 57,"151 CROKER DR VACAVILLE, CA 95688",38.395124985089,-121.951917960286
CA,COUNTRY MART DIESEL & GAS,I-580,Exit 76-B,"34243 S CHRISMAN RD TRACY, CA 95376",37.641382006761,-121.398057975526
CA,PILOT TRAVEL CENTER #343,I-805,Exit 1-B,"1497 PIPER RANCH RD SAN DIEGO, CA 92154",32.569221995105,-116.952495014739
CA,HARBOR TRUCK & AUTO STOP,US-50,Exit 1,"2816 W CAPITAL AVE SACRAMENTO, CA 95691",38.579748262921,-121.54822966156
CA,ARCHER TRAVEL CENTER,US-58,Exit CA,"16660 SIERRA HWY MOJAVE, CA 93501",35.06342500684,-118.176281963557
CA,VALLEY PACIFIC PETROLEUM SERVICE (CHEVRON),US-101,Exit BETTERAVIA,"1155 E BETTERAVIA RD SANTA MARIA, CA 93454",34.924477988353,-120.416693017081
CA,7 ELEVEN,US-101,Exit GRAND,"114 HARBOR WAY S SAN FRANCISCO, CA 94080",37.6537570067,-122.400753033534
CA,SPEEDWAY,US-101,Exit GRAND,"176 GATEWAY BLVD SAN FRANCISCO, CA 94080",37.652127019899,-122.401962039248
CA,THE GARLIC FARM,US-101,Exit MONTEREY,"5920 TRAVEL PARK CIRCLE GILROY, CA 95020",36.984876984258,-121.555738002786
CA,SAN PASO TRUCK STOP,US-101,Exit WELLSONA,"81 WELLSONA RD PASO ROBLES, CA 93446",35.695460990861,-120.697901007113
CA,MAC-VALLEY OIL COMPANY,US-101,Exit 59,"100 N DE NORTE BLVD OXNARD, CA 93030",34.202323008423,-119.126868992637
CA,7 ELEVEN,US-101,Exit 278,"50940 MESA VERDE RD KING CITY, CA 93930",36.187664995057,-121.075135013589
CA,VALLEY TRUCK STOP,US-101,Exit 326-A,"721 VERTIN AVE SALINAS, CA 93901",36.66167100736,-121.62669399829
CA,7 ELEVEN,US-101,Exit 326-B,"1020 TERVEN AVE SALINAS, CA 93902",36.663434014965,-121.629421972497
CA,PILOT TRAVEL CENTER #237,US-101,Exit 326-B,"951 WORK ST SALINAS, CA 93901",36.665418011446,-121.630569035947
CA,LOVE'S TRAVEL STOP #898,US-101,Exit 326A,"1264 DE LA TORRE ST SALINAS, CA 93905",36.658601009594,-121.61887602956
CA,JENSENS TRUCK STOP,US-101,Exit 551,"1460 N LOVERS LANE UKIAH, CA 95482",39.169531995044,-123.212136013066
CA,BROADWAY GAS & DELI,US-101,,"4050 BROADWAY ST EUREKA, CA 95503",40.769844008968,-124.191912014127
CA,SOUTH BROADWAY SHELL,US-101,,"3505 BROADWAY ST EUREKA, CA 95503",40.775044979888,-124.189816035419
CA,HALLELUJAH JUNCTION MARKET,US-395,Exit CA,"753-755 CA 70 CHILCOOT, CA 96105",39.809627237287,-120.244476060228
CA,FORT INDEPENDENCE TRAVEL PLAZA,US-395,Exit MILLER,"135 US 395 INDEPENDENCE, CA 93526",36.802937196028,-118.199995061692
CA,PEARSONVILLE TRUCK STOP,US-395,Exit PEARSON,"102 PEARSON RD PEARSONVILLE, CA 93527",35.798651983868,-117.871917960174
CA,PILOT TRAVEL CENTER #200,US-395,Exit US,"5725 HWY 58 BORON, CA 93516",34.99181601917,-117.54287101214
CA,ARCO,US-395,,"466 S MAIN ST BISHOP, CA 93514",37.35755002003,-118.394714025033
CA,BIG PINE SHELL,US-395,,"109 S MAIN ST BIG PINE, CA 93513",37.165834017641,-118.289913999983
CA,3 BROTHERS TRAVEL PLAZA,,,"775 W STATE HWY 20 UPPER LAKE, CA 95485",39.162847008166,-122.919737008829
CA,WESTGATE PETROLEUM,,Exit CA,"3740 HIGHLAND SPRINGS RD LAKEPORT, CA 95453",39.000468002167,-122.891713037571
CA,GILL'S TRUCK STOP,,,"7954 LACEY BLVD HANFORD, CA 93230",36.328684983928,-119.600321966969
CA,GOLDEN HILL COUNTRY STORE,,Exit GOLDEN,"2400 GOLDEN HILL RD PASO ROBLES, CA 93446",35.645383980891,-120.657446002894
CA,24 SEVEN TRAVEL PLAZA,,Exit 117,"209 WEEDPATCH HWY BAKERSFIELD, CA 93307",35.355934987476,-118.913575037808
CA,SPEEDWAY,,Exit 117,"8200 KIMBER AVE BAKERSFIELD, CA 93307",35.351172012906,-118.912875987083
CA,FLYING J TRAVEL CENTER #1094,,Exit 151,"1668 E TEHACHAPI BLVD TEHACHAPI, CA 93561",35.126656994748,-118.415579012789
CA,LOVE'S TRAVEL STOP #392,,Exit 151,"2000 E TEHACHAPI BLVD TEHACHAPI, CA 93561",35.125568017888,-118.408206961308
CA,LOVE'S TRAVEL STOP #755,,Exit 199,"27201 BORON FRONTAGE RD BORON, CA 93516",35.013020012999,-117.64716200421
CA,DUCOR HANDY MARKET (SHELL),,Exit 56TH,"23314 AVE 56 DUCOR, CA 93218",35.892136020536,-119.051070017298
CA,LOVE'S TRAVEL STOP #749,,Exit MARTIN,"551 W MAIN ST WESTMORLAND, CA 92281",33.038827005326,-115.629111023447
CA,AM/PM,,Exit MARINA,"2084 S MARINA DR SALTON CITY, CA 92275",33.278867990374,-115.965545026569
CA,TORRES MARTINEZ TRAVEL CENTER,,,"3095 CA 86 SALTON SEA BEACH, CA 92274",33.359495427097,-116.019067730838
CA,REFRESH TRAVEL PLAZA,,Exit AVENUE,"32603 AVENUE 7 MADERA, CA 93637",36.851329913073,-119.955347809723
CA,DHAMI TRUCK STOP,,Exit OBANION,"1281 OBANION RD YUBA CITY, CA 95991",39.025664003112,-121.633868991227
CA,SPEEDWAY,,Exit 3,"2023 METTLER FRONTAGE RD METTLER, CA 93313",35.06026699909,-118.969506974783
CA,BEAR MOUNTAIN TRUCK STOP,,Exit 13,"1584 COSTAJO RD BAKERSFIELD, CA 93313",35.223265854974,-119.013025265435
CA,Love's Country Stores,,Exit 18,"1500 TAFT HWY BAKERSFIELD, CA 93307",35.267783014694,-119.020082959449
CA,FLYING J TRAVEL CENTER #613,,Exit 39,"17047 ZACHARY AVE BAKERSFIELD, CA 93308",35.531282013064,-119.187997039029
CA,AKAL TRUCK STOP,,Exit 61,"1748 HWY 99 DELANO, CA 93215",35.822144991635,-119.259398029772
CA,BIG B'S TRAVEL PLAZA,,Exit 65,"1164 N FRONT ST EARLIMART, CA 93219",35.894640994209,-119.276139959356
CA,BEST TRUCK STOP,,Exit 70-B,"451 N PARK DR PIXLEY, CA 93256",35.973717000323,-119.292879039092
CA,BOB'S AUTO & TRUCK STOP,,Exit 70-B,"444 E COURT AVE PIXLEY, CA 93256",35.971953992719,-119.291438022298
CA,VALLEY FUEL TOWN & COUNTRY,,Exit 76,"412 S BURNETT RD TIPTON, CA 93272",36.056156999458,-119.312667036109
CA,FLYING J TRAVEL CENTER #1071,,Exit 85,"979 E PAIGE AVE TULARE, CA 93274",36.181234985674,-119.332049013736
CA,LOVE'S TRAVEL STOP #382,,Exit 85,"2700 S BLACKSTONE ST TULARE, CA 93274",36.180918987925,-119.330169958682
CA,PAIGE TRUCK STOP,,Exit 85,"1297 E PAIGE AVE TULARE, CA 93274",36.181412011469,-119.327613981128
CA,ROCHE OIL MOBILE MART,,Exit 85,"1120 E PAIGE RD TULARE, CA 93274",36.18308700909,-119.330517975302
CA,DINO MART,,Exit 98-B,"30821 CA 99 GOSHEN, CA 93227",36.349759980268,-119.427885012435
CA,VALLEY FUEL TRAVEL PLAZA,,Exit 98-B,"6603 BETTY DR VISALIA, CA 93291",36.350341013796,-119.425459038199
CA,RJ'S TRAVEL PLAZA,,Exit 106,"36220 6TH ST TRAVER, CA 93631",36.449305901886,-119.486377724302
CA,SHOP N GO #611,,Exit 109,"38440 6TH ST KINGSBURG, CA 93631",36.516410579423,-119.561694627607
CA,MOUNTAIN VIEW GAS & MART,,Exit 115,"13025 S VAN HORN AVE SELMA, CA 93662",36.546214984984,-119.598120376281
CA,BUFORD STAR MART #5,,Exit 121,"2747 E MANNING AVE FOWLER, CA 93625",36.60728905192,-119.658358516012
CA,5TH WHEEL TRUCK STOP,,Exit 127,"3767 S GOLDEN STATE BLVD FRESNO, CA 93725",36.680292746369,-119.738312316937
CA,EZ TRIP,,Exit 151,"28577 AVE 12 MADERA, CA 93637",36.925058987422,-120.025882003841
CA,LOVE'S TRAVEL STOP #736,,Exit 157,"3175 AVE 17 MADERA, CA 93637",36.991950359135,-120.147230445383
CA,PILOT TRAVEL CENTER #365,,Exit 159,"22717 AVE 18 1/2 MADERA, CA 93637",37.019808020918,-120.133226020324
CA,UNITED PARK TRUCK STOP,,Exit 167,"18208 AVENUE 24 CHOWCHILLA, CA 93610",37.09757699496,-120.217624995959
CA,TRAVEL CENTERS OF AMERICA #170,,Exit 203,"435 WINTON PKWY LIVINGSTON, CA 95334",37.387571985548,-120.738360034646
CA,MODESTO TRUCK PLAZA,,Exit 223,"1201 S 7TH ST MODESTO, CA 95351",37.612687986164,-120.982697038438
CA,FLYING J TRAVEL CENTER #618,,Exit 237-B,"1501 N JACK TONE RD RIPON, CA 95366",37.75496702071,-121.143165976341
CA,LOVE'S TRAVEL STOP #223,,Exit 237-B,"1553 COLONY RD RIPON, CA 95366",37.755671016758,-121.141380966241
CA,JAHANT FOOD AND FUEL,,Exit 271,"24323 N CA 99 ACAMPO, CA 95220",38.206809017904,-121.264438033693
CA,SAC VALLEY TRUCK STOP,,Exit 291,"7891 STOCKTON BLVD SACRAMENTO, CA 95823",38.471453068066,-121.41677711225
CA,HIGHWAY 99 TRAVEL CENTER,,Exit 342,"4142 CA 99 YUBA CITY, CA 95991",39.066122824847,-121.633410351194
CA,MECCA TRAVEL CENTER,,Exit 66TH,"90480 66TH AVE MECCA, CA 92254",33.570257981108,-116.091050028843
CA,PILOT TRAVEL CENTER #1132,,,"1850 MAIN ST BRAWLEY, CA 92227",32.97786898584,-115.503591017566
CA,PEARBLOSSOM CHEVRON,,Exit 131ST,"13030 PEARBLOSSOM HWY PEARBLOSSOM, CA 93553",34.50609801547,-117.89703600942
CA,Pilot Travel Centers,,,"5231 PEARBLOSSOM HWY PALMDALE, CA 93552",34.542775151818,-118.035791721084
CA,CASA DE DIESEL,,,"10021 PACHECO PASS HWY HOLLISTER, CA 95023",36.949157000961,-121.382381972569
CA,DOS PALOS CHEVRON,,,"16150 ELGIN RD DOS PALOS, CA 93620",37.052227001196,-120.634984011126
CA,PILOT TRAVEL CENTER #1328,,Exit 68,"2325 SIERRA LAKES PARKWAY SUITE RIALTO, CA 92377",34.137631359374,-117.431479900585
CA,RABBIT TRAXX TRUCK STOP MINI-MART,,,"580 PATTERSON ST CEDARVILLE, CA 96104",41.529365722505,-120.181509354807
CA,LA MEDIA TRAVEL CENTER,,Exit 7,"1599 LA MEDIA RD SAN DIEGO, CA 92154",32.568452997398,-116.961416963936
CA,TRUCK NET,,Exit 7,"8490 AVENIDA DE LA FUENTE SAN DIEGO, CA 92154",32.557383981793,-116.960860992298
CA,BANDINI TRUCK TERMINAL,,,"3152 BANDINI BLVD VERNON, CA 90058",34.008185013201,-118.211788962694
CA,VERNON TRUCK WASH,,,"3308 BANDINI BLVD VERNON, CA 90058",34.008249009032,-118.208180972472
CA,7 ELEVEN,,,"3225 BUCK OWENS BLVD BAKERSFIELD, CA 93308",35.389109009592,-119.043653960826
CA,7 ELEVEN,,,"33190 HUBERT WAY KETTLEMAN CITY, CA 93239",35.990102992388,-119.960158998128
CA,N-S MINI MART,,,"951 W TEAPOT DOME AVE PORTERSVILLE, CA 93257",36.021851001318,-119.039097977355
